Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
АНАЛИЗ ПРОЦЕССА ФИТОРЕМЕДИАЦИИ НЕФТЕЗАГРЯЗНЕННОГО ГРУНТА С ИСПОЛЬЗОВАНИЕМ ТОРФО-ДИАТОМИТОВОГО МЕЛИОРАНТА,"Антонинова Наталья Юрьевна, Усманов Альберт Исмагилович, Собенин Артем Вячеславович",Проблемы недропользования,2020,Экологические биотехнологии,"торф, диатомит, сапропель, мелиорант, рекультивация, биоремедиация, фиторемедиация, нефть, нефтешламы","peat, diatomite, sapropel, meliorant, reclamation, phytoremediation, oil, oil slimes","В связи с развитием нефтедобывающего и перерабатывающего комплекса проблема загрязнения нефтью и нефтепродуктами достаточно актуальна. Саморемедиация нефтезагрязненных экосистем происходит очень медленно, кроме того, основной объем нефтедобычи сосредоточен в северных регионах, экосистема которых очень чувствительна к любому антропогенному воздействию. Таким образом, проведенные исследования позволили оценить эффективность влияния опытных образцов торфо-диатомитового мелиоранта на процесс деструкции нефтепродуктов. Кроме того, зафиксировано увеличение содержания валовых форм калия во время активной фазы деструкции нефтепродуктов одного из основных агрохимических показателей плодородия земель.","Антонинова Наталья Юрьевна, Усманов Альберт Исмагилович, Собенин Артем Вячеславович АНАЛИЗ ПРОЦЕССА ФИТОРЕМЕДИАЦИИ НЕФТЕЗАГРЯЗНЕННОГО ГРУНТА С ИСПОЛЬЗОВАНИЕМ ТОРФО-ДИАТОМИТОВОГО МЕЛИОРАНТА // Проблемы недропользования. 2020. №4 (27). URL: https://cyberleninka.ru/article/n/analiz-protsessa-fitoremediatsii-neftezagryaznennogo-grunta-s-ispolzovaniem-torfo-diatomitovogo-melioranta (дата обращения: 25.10.2024).","Антонинова Наталья Юрьевна, Усманов Альберт Исмагилович, & Собенин Артем Вячеславович (2020). АНАЛИЗ ПРОЦЕССА ФИТОРЕМЕДИАЦИИ НЕФТЕЗАГРЯЗНЕННОГО ГРУНТА С ИСПОЛЬЗОВАНИЕМ ТОРФО-ДИАТОМИТОВОГО МЕЛИОРАНТА. Проблемы недропользования,  (4 (27)), 110-118.",https://cyberleninka.ru/article/n/analiz-protsessa-fitoremediatsii-neftezagryaznennogo-grunta-s-ispolzovaniem-torfo-diatomitovogo-melioranta
ПРИМЕНЕНИЕ МЕТОДА ОЗОНИРОВАНИЯ ДЛЯ ОБЕЗВРЕЖИВАНИЯ ТЕХНОЛОГИЧЕСКИХ РАСТВОРОВ МЕДНОГО ПРОИЗВОДСТВА,Холикулов Дониёр Бахтиёрович,Universum: технические науки,2020,Экологические биотехнологии,"производство меди, озонирование, технологический раствор, температура, расход озона, окисление, степень очистки","copper production, ozonation, process solution, temperature, ozone consumption, oxidation, degree of purification","В статье исследуется процесс очистки технологического раствора купоросного цеха производства меди методом озонирования. Озонирование позволило очистить маточный раствор от примесей и вернуть технологический раствор в производство, а также получить осадок соединений металлов.",Холикулов Дониёр Бахтиёрович ПРИМЕНЕНИЕ МЕТОДА ОЗОНИРОВАНИЯ ДЛЯ ОБЕЗВРЕЖИВАНИЯ ТЕХНОЛОГИЧЕСКИХ РАСТВОРОВ МЕДНОГО ПРОИЗВОДСТВА // Universum: технические науки. 2020. №12-1 (81). URL: https://cyberleninka.ru/article/n/primenenie-metoda-ozonirovaniya-dlya-obezvrezhivaniya-tehnologicheskih-rastvorov-mednogo-proizvodstva (дата обращения: 25.10.2024).,"Холикулов Дониёр Бахтиёрович (2020). ПРИМЕНЕНИЕ МЕТОДА ОЗОНИРОВАНИЯ ДЛЯ ОБЕЗВРЕЖИВАНИЯ ТЕХНОЛОГИЧЕСКИХ РАСТВОРОВ МЕДНОГО ПРОИЗВОДСТВА. Universum: технические науки,  (12-1 (81)), 60-66.",https://cyberleninka.ru/article/n/primenenie-metoda-ozonirovaniya-dlya-obezvrezhivaniya-tehnologicheskih-rastvorov-mednogo-proizvodstva
"ОПАСНЫЕ ОТХОДЫ У НАСЕЛЕНИЯ: ПРОБЛЕМЫ, ПОИСК РЕШЕНИЙ ИХ РАЗДЕЛЬНОГО НАКОПЛЕНИЯ",Волостных Елизавета Александровна,Интерактивная наука,2020,Экологические биотехнологии,"региональный оператор, опасные отходы, коммунальные отходы, ответственность производителя, раздельное накопление","regional operator, municipal solid waste, hazardous waste, extended producer responsibility","Мусор и различные отходы являются неотъемлемой частью жизнедеятельности человека, но на сегодняшний день это превратилось в глобальную проблему. Основной причиной, по которой накопление мусора потребовало особого внимания и новых способов переработки и утилизации, является накопление опасных отходов, образующихся у населения. В статье рассмотрены проблемы обращения с отходами 1 и 2 класса опасности, предложены способы решения данных проблем. Цель исследования - выявить, круг субъектов ответственных в обращении с опасными отходами у населения, рассмотреть иерархию по обращению с отходами применительно к опасным отходам населения. Методы исследования: метод правового анализа, метод обобщения. Итоговый результат: предложены рекомендации по формированию системы раздельного накопления и утилизации опасных отходов.","Волостных Елизавета Александровна ОПАСНЫЕ ОТХОДЫ У НАСЕЛЕНИЯ: ПРОБЛЕМЫ, ПОИСК РЕШЕНИЙ ИХ РАЗДЕЛЬНОГО НАКОПЛЕНИЯ // Интерактивная наука. 2020. №1 (47). URL: https://cyberleninka.ru/article/n/opasnye-othody-u-naseleniya-problemy-poisk-resheniy-ih-razdelnogo-nakopleniya (дата обращения: 25.10.2024).","Волостных Елизавета Александровна (2020). ОПАСНЫЕ ОТХОДЫ У НАСЕЛЕНИЯ: ПРОБЛЕМЫ, ПОИСК РЕШЕНИЙ ИХ РАЗДЕЛЬНОГО НАКОПЛЕНИЯ. Интерактивная наука,  (1 (47)), 44-46.",https://cyberleninka.ru/article/n/opasnye-othody-u-naseleniya-problemy-poisk-resheniy-ih-razdelnogo-nakopleniya
БИОЛОГИЧЕСКИЙ СПОСОБ ОЧИСТКИ ГОРОДСКИХ ПОЧВ ОТ ТЯЖЕЛЫХ МЕТАЛЛОВ,"Крекова Я.А., Рахимжанов А.Н., Соловьева М.В., Залесов С.В.",Актуальные проблемы лесного комплекса,2020,Экологические биотехнологии,"городские почвы, тяжелые металлы, тополь бальзамический (populus balsamifena l.), почвенное плодородие","urban soils, heavy metals, balsam poplar (populus balsamifena l.), soil fertility",Рассмотрены вопросы улучшения качества городских почв за счет вывоза листьев тополя бальзамического на специальные полигоны или на участки рекультивации нарушенных земель.,"Крекова Я. А., Рахимжанов А. Н., Соловьева М. В., Залесов С. В. БИОЛОГИЧЕСКИЙ СПОСОБ ОЧИСТКИ ГОРОДСКИХ ПОЧВ ОТ ТЯЖЕЛЫХ МЕТАЛЛОВ // Актуальные проблемы лесного комплекса. 2020. №58. URL: https://cyberleninka.ru/article/n/biologicheskiy-sposob-ochistki-gorodskih-pochv-ot-tyazhelyh-metallov (дата обращения: 25.10.2024).","Крекова Я.А., Рахимжанов А.Н., Соловьева М.В., & Залесов С.В. (2020). БИОЛОГИЧЕСКИЙ СПОСОБ ОЧИСТКИ ГОРОДСКИХ ПОЧВ ОТ ТЯЖЕЛЫХ МЕТАЛЛОВ. Актуальные проблемы лесного комплекса,  (58), 91-93.",https://cyberleninka.ru/article/n/biologicheskiy-sposob-ochistki-gorodskih-pochv-ot-tyazhelyh-metallov
К ВОПРОСУ АКТУАЛЬНОСТИ ОЧИСТКИ ПРОМЫШЛЕННЫХ СТОЧНЫХ ВОД ОТ ИОНОВ ТЯЖЕЛЫХ МЕТАЛЛОВ ПРИ ПОМОЩИ ВЫСШИХ ВОДНЫХ РАСТЕНИЙ,"Мищенко О.А., Тищенко В.П.",Актуальные проблемы лесного комплекса,2020,Экологические биотехнологии,"тяжелые металлы, заагрязнение, экологичесая катастрофа, шламонакопитель, экология, фиторемедиацией","heavy metals, pollution, environmental disaster, sludge storage, ecology, phytoremediation",Проведен анализ применяемых методов для очистки сточных вод от тяжелых металлов. Обоснован выбор способа фиторемедиацией при помощи высших водных растений для очистки сточных вод шламонакопителя.,"Мищенко О. А., Тищенко В. П. К ВОПРОСУ АКТУАЛЬНОСТИ ОЧИСТКИ ПРОМЫШЛЕННЫХ СТОЧНЫХ ВОД ОТ ИОНОВ ТЯЖЕЛЫХ МЕТАЛЛОВ ПРИ ПОМОЩИ ВЫСШИХ ВОДНЫХ РАСТЕНИЙ // Актуальные проблемы лесного комплекса. 2020. №58. URL: https://cyberleninka.ru/article/n/k-voprosu-aktualnosti-ochistki-promyshlennyh-stochnyh-vod-ot-ionov-tyazhelyh-metallov-pri-pomoschi-vysshih-vodnyh-rasteniy (дата обращения: 25.10.2024).","Мищенко О.А., & Тищенко В.П. (2020). К ВОПРОСУ АКТУАЛЬНОСТИ ОЧИСТКИ ПРОМЫШЛЕННЫХ СТОЧНЫХ ВОД ОТ ИОНОВ ТЯЖЕЛЫХ МЕТАЛЛОВ ПРИ ПОМОЩИ ВЫСШИХ ВОДНЫХ РАСТЕНИЙ. Актуальные проблемы лесного комплекса,  (58), 109-115.",https://cyberleninka.ru/article/n/k-voprosu-aktualnosti-ochistki-promyshlennyh-stochnyh-vod-ot-ionov-tyazhelyh-metallov-pri-pomoschi-vysshih-vodnyh-rasteniy
ФОРМИРОВАНИЕ ПЕРВИЧНЫХ СУКЦЕССИЙ НА ОТВАЛАХ ОТХОДОВ ЛЕСОПИЛЕНИЯ И ДЕРЕВООБРАБОТКИ,"Осипенко Р.А., Залесов С.В., Осипенко А.Е.",Актуальные проблемы лесного комплекса,2020,Экологические биотехнологии,"отходы, лесопиление, деревообработка, рекультивация, сукцессии","waste, lumbering, woodworking, reclamation, succession",Проанализировано формирование травянистой и древесно-кустарниковой растительности на отвалах отходов лесопиления и деревообработки. Предложены пути минимизации негативных последствий складирования указанных отходов и рекомендации по рекультивации нарушенных земель.,"Осипенко Р. А., Залесов С. В., Осипенко А. Е. ФОРМИРОВАНИЕ ПЕРВИЧНЫХ СУКЦЕССИЙ НА ОТВАЛАХ ОТХОДОВ ЛЕСОПИЛЕНИЯ И ДЕРЕВООБРАБОТКИ // Актуальные проблемы лесного комплекса. 2020. №56. URL: https://cyberleninka.ru/article/n/formirovanie-pervichnyh-suktsessiy-na-otvalah-othodov-lesopileniya-i-derevoobrabotki (дата обращения: 25.10.2024).","Осипенко Р.А., Залесов С.В., & Осипенко А.Е. (2020). ФОРМИРОВАНИЕ ПЕРВИЧНЫХ СУКЦЕССИЙ НА ОТВАЛАХ ОТХОДОВ ЛЕСОПИЛЕНИЯ И ДЕРЕВООБРАБОТКИ. Актуальные проблемы лесного комплекса,  (56), 133-136.",https://cyberleninka.ru/article/n/formirovanie-pervichnyh-suktsessiy-na-otvalah-othodov-lesopileniya-i-derevoobrabotki
МИКРОБИОЛОГИЧЕСКОЕ РАЗНООБРАЗИЕ И БИОЛОГИЧЕСКАЯ АКТИВНОСТЬ ТОРФЯНОЙ ПОЧВЫ В УСЛОВИЯХ ЕЕ ОКУЛЬТУРИВАНИЯ,Куликов Я. К.,Веснік Мазырскага дзяржаўнага педагагічнага ўніверсітэта імя І. П. Шамякіна,2020,Экологические биотехнологии,"торфяная почва, окультуривание, оптимизация, микробиологическое разнообразие","peat soil, cultivation, optimization, microbiological diversity","Под действием землевания торфяной почвы снижается ее биологическая активность, что проявляется в уменьшении количества микроорганизмов различных эколого-трофических групп, принимающих участие в минерализации органического вещества, а также в снижении активности протеазы и инвертазы, катализирующих реакции расщепления органических соединений. Снижалась активность выделения окультуренной торфяной почвы углекислого газа, что отражает уменьшение скорости минерализации углеродсодержащих органических веществ.",Куликов Я. К. МИКРОБИОЛОГИЧЕСКОЕ РАЗНООБРАЗИЕ И БИОЛОГИЧЕСКАЯ АКТИВНОСТЬ ТОРФЯНОЙ ПОЧВЫ В УСЛОВИЯХ ЕЕ ОКУЛЬТУРИВАНИЯ // Веснік МДПУ імя І. П. Шамякіна. 2020. №2 (56). URL: https://cyberleninka.ru/article/n/mikrobiologicheskoe-raznoobrazie-i-biologicheskaya-aktivnost-torfyanoy-pochvy-v-usloviyah-ee-okulturivaniya (дата обращения: 25.10.2024).,"Куликов Я. К. (2020). МИКРОБИОЛОГИЧЕСКОЕ РАЗНООБРАЗИЕ И БИОЛОГИЧЕСКАЯ АКТИВНОСТЬ ТОРФЯНОЙ ПОЧВЫ В УСЛОВИЯХ ЕЕ ОКУЛЬТУРИВАНИЯ. Веснік Мазырскага дзяржаўнага педагагічнага ўніверсітэта імя І. П. Шамякіна,  (2 (56)), 39-44.",https://cyberleninka.ru/article/n/mikrobiologicheskoe-raznoobrazie-i-biologicheskaya-aktivnost-torfyanoy-pochvy-v-usloviyah-ee-okulturivaniya
ПЕРСПЕКТИВЫ ВНЕДРЕНИЯ БИОТЕХНОЛОГИЙ ДЛЯ ПОДДЕРЖАНИЯ ЭКОЛОГИЧЕСКОГО СТАТУСА ПУНКТОВ ПОСТОЯННОЙ ДИСЛОКАЦИИ ВООРУЖЕННЫХ СИЛ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Лещенко Андрей Анатольевич, Погорельский Иван Петрович, Кучеренко Александр Сергеевич",Военная мысль,2020,Экологические биотехнологии,"экологический статус, биотехнология, биопрепарат, деструктор","environmental status, biotechnology, bio-preparation, destructor",Раскрывается вопрос потенциальной экологической опасности военных объектов. На примере биопрепарата - деструктора нефти и нефтепродуктов показана возможность реализации нового экобиотехнологического направления по защите пунктов постоянной дислокации войск и сил флота от химических загрязнений.,"Лещенко Андрей Анатольевич, Погорельский Иван Петрович, Кучеренко Александр Сергеевич ПЕРСПЕКТИВЫ ВНЕДРЕНИЯ БИОТЕХНОЛОГИЙ ДЛЯ ПОДДЕРЖАНИЯ ЭКОЛОГИЧЕСКОГО СТАТУСА ПУНКТОВ ПОСТОЯННОЙ ДИСЛОКАЦИИ ВООРУЖЕННЫХ СИЛ РОССИЙСКОЙ ФЕДЕРАЦИИ // Военная мысль. 2020. №11. URL: https://cyberleninka.ru/article/n/perspektivy-vnedreniya-biotehnologiy-dlya-podderzhaniya-ekologicheskogo-statusa-punktov-postoyannoy-dislokatsii-vooruzhennyh-sil (дата обращения: 25.10.2024).","Лещенко Андрей Анатольевич, Погорельский Иван Петрович, & Кучеренко Александр Сергеевич (2020). ПЕРСПЕКТИВЫ ВНЕДРЕНИЯ БИОТЕХНОЛОГИЙ ДЛЯ ПОДДЕРЖАНИЯ ЭКОЛОГИЧЕСКОГО СТАТУСА ПУНКТОВ ПОСТОЯННОЙ ДИСЛОКАЦИИ ВООРУЖЕННЫХ СИЛ РОССИЙСКОЙ ФЕДЕРАЦИИ. Военная мысль,  (11), 96-101.",https://cyberleninka.ru/article/n/perspektivy-vnedreniya-biotehnologiy-dlya-podderzhaniya-ekologicheskogo-statusa-punktov-postoyannoy-dislokatsii-vooruzhennyh-sil
БЕЗОПАСНОСТЬ ПРОДУКТОВ ПЧЕЛОВОДСТВА,"Будникова Наталья Валентиновна, Митрофанов Дмитрий Викторович",Сборник научных трудов Краснодарского научного центра по зоотехнии и ветеринарии,2020,Экологические биотехнологии,"хлорорганические пестициды, мёд, пыльцевая обножка, продукты пчеловодства, газовая хроматография","organochlorine pesticides, honey, pollen load, beekeeping products, gas chromatography","Сельскохозяйственное производство в современных условиях немыслимо без применения пестицидов. Хлорорганические пестициды (ХОП) наиболее опасны. Они могут длительно сохраняться в почве, воздействовать на почвенную фауну и переходить в произрастающие растения, включаясь таким образом в пищевые цепи. Медоносные пчелы являются наиболее важными опылителями многих сельскохозяйственных культур, в результате существует потенциальное загрязнение продуктов пчеловодства остатками пестицидов, которые используются для борьбы с вредителями растений.","Будникова Наталья Валентиновна, Митрофанов Дмитрий Викторович БЕЗОПАСНОСТЬ ПРОДУКТОВ ПЧЕЛОВОДСТВА // Сборник научных трудов СКНИИЖ. 2020. №1. URL: https://cyberleninka.ru/article/n/bezopasnost-produktov-pchelovodstva (дата обращения: 25.10.2024).","Будникова Наталья Валентиновна, & Митрофанов Дмитрий Викторович (2020). БЕЗОПАСНОСТЬ ПРОДУКТОВ ПЧЕЛОВОДСТВА. Сборник научных трудов Краснодарского научного центра по зоотехнии и ветеринарии, 9 (1), 274-277.",https://cyberleninka.ru/article/n/bezopasnost-produktov-pchelovodstva
"ФИТОТЕСТИРОВАНИЕ ПОЧВ, ЗАГРЯЗНЕННЫХ НЕФТЕПРОДУКТАМИ",Тишин А.С.,Международный научно-исследовательский журнал,2020,Экологические биотехнологии,"фитотестирование, биотестирование, нефть, углеводороды нефти, нефтепродукты, нефтезагрязнение, нефтезагрязненные почвы, растительные тест-объекты, прорастание семян","phytotesting, biotesting, oil, petroleum hydrocarbons, petroleum products, oil pollution, oil-contaminated soils, plant test subjects, seed germination","В данной статье представлен краткий обзор научных данных о фитотестировании нефтезагрязненных почв, его основных принципов, растений, используемых в качестве тест-объектов, их тест-реакции. В фитотестировании нефтезагрязнений применяется немалое количество различных растений, наиболее широко из которых применяют кресс-салат L. sativum, редис R. sativus, подсолнечник H. annuus, горчица S. alba, рапс B. napus, турнепс B. rapa, горох P. sativum, клевер T. pratense, лук A. cepa, кукуруза Z. mays и т.д. Для количественной оценки действия факторов в условиях техногенного загрязнения используют различные физиологические, биохимические и цитогенетические параметры тест-систем растений: всхожесть семян, длина корней и стеблей проростков, энергия прорастания семян, прирост фитомассы тестируемых растений, количество формирующихся цветков, семян и плодов, размеры отдельных органов растения, например, околоцветника и т.д.","Тишин А. С. ФИТОТЕСТИРОВАНИЕ ПОЧВ, ЗАГРЯЗНЕННЫХ НЕФТЕПРОДУКТАМИ // МНИЖ. 2020. №12-2 (102). URL: https://cyberleninka.ru/article/n/fitotestirovanie-pochv-zagryaznennyh-nefteproduktami (дата обращения: 25.10.2024).","Тишин А.С. (2020). ФИТОТЕСТИРОВАНИЕ ПОЧВ, ЗАГРЯЗНЕННЫХ НЕФТЕПРОДУКТАМИ. Международный научно-исследовательский журнал,  (12-2 (102)), 78-83.",https://cyberleninka.ru/article/n/fitotestirovanie-pochv-zagryaznennyh-nefteproduktami
ПРИМЕНЕНИЕ СВЧ-ИЗЛУЧЕНИЙ ДЛЯ ОБЕЗЗАРАЖИВАНИЯ ПТИЧЬЕГО ПОМЁТА,"Петрова Галина Васильевна, Буракаева Айгуль Дикатовна, Сорокун Сергей Васильевич",Известия Оренбургского государственного аграрного университета,2020,Экологические биотехнологии,,"ultra-frequency wave particles (shf), irradiation dose, bird litter, poultry farm, conditionally pathogenic microorganisms, enterococcus casseliflavus","Анализы химического состава жидкой фракции помёта и дренажных вод птицеводческого предприятия показали в стоках высокое содержание трудноразлагаемых органических и минеральных веществ. Проведённые микробиологические исследования показали наличие большого количества бактерий группы кишечных палочек, стафилококков, сальмонелл, микрококков, яиц глистов. Среди бактерий преобладали мелкие грамположительные, не образующие спор и капсул бактерии, наиболее устойчивые к нагреванию и средствам дезинфекции, которые с использованием полимеразной цепной реакции по видоспецифическому гену были идентифицированы как Enterococcus casseliflavus. Изучение влияния дозы и времени СВЧ-излучений бытовой печи на выживаемость чистых музейных бактериальных культур условно-патогенных микроорганизмов и сапрофитных культур показало зависимость эффекта воздействия от их таксономического положения, биохимической активности, а также от способности синтезировать пигменты. СВЧ-облучение оказывает губительное воздействие на большинство выделенных из жидкой фракции помёта и дренажных вод бактерий и яиц глистов при номинальной мощности 400 Вт в течение 30 минут, при номинальной мощности 800 Вт - через 5 - 10 минут. Для уничтожения яиц глистов оказалась достаточной 5-минутная экспозиция.","Петрова Галина Васильевна, Буракаева Айгуль Дикатовна, Сорокун Сергей Васильевич ПРИМЕНЕНИЕ СВЧ-ИЗЛУЧЕНИЙ ДЛЯ ОБЕЗЗАРАЖИВАНИЯ ПТИЧЬЕГО ПОМЁТА // Известия ОГАУ. 2020. №5 (85). URL: https://cyberleninka.ru/article/n/primenenie-svch-izlucheniy-dlya-obezzarazhivaniya-ptichiego-pomyota (дата обращения: 25.10.2024).","Петрова Галина Васильевна, Буракаева Айгуль Дикатовна, & Сорокун Сергей Васильевич (2020). ПРИМЕНЕНИЕ СВЧ-ИЗЛУЧЕНИЙ ДЛЯ ОБЕЗЗАРАЖИВАНИЯ ПТИЧЬЕГО ПОМЁТА. Известия Оренбургского государственного аграрного университета,  (5 (85)), 145-148.",https://cyberleninka.ru/article/n/primenenie-svch-izlucheniy-dlya-obezzarazhivaniya-ptichiego-pomyota
АНАЛИЗ МИРОВОГО ОПЫТА УТИЛИЗАЦИИ ОСАДКА ГОРОДСКИХ СТОЧНЫХ ВОД,"Валиев В.С., Иванов Д.В., Шагидуллин Р.Р.",Российский журнал прикладной экологии,2020,Экологические биотехнологии,"осадки сточных вод, утилизация, технологии обезвреживания, иловые поля","sewage sludge, recycling, neutralization technologies, sewage sludge fields","Обобщен мировой опыт утилизации осадков сточных вод. Рассмотрены основные направления утилизации осадка, применяемые в европейских странах и США. Показаны их преимущества и недостатки с учетом экологической и экономической эффективности.","Валиев В. С., Иванов Д. В., Шагидуллин Р. Р. АНАЛИЗ МИРОВОГО ОПЫТА УТИЛИЗАЦИИ ОСАДКА ГОРОДСКИХ СТОЧНЫХ ВОД // Российский журнал прикладной экологии. 2020. №4 (24). URL: https://cyberleninka.ru/article/n/analiz-mirovogo-opyta-utilizatsii-osadka-gorodskih-stochnyh-vod (дата обращения: 25.10.2024).","Валиев В.С., Иванов Д.В., & Шагидуллин Р.Р. (2020). АНАЛИЗ МИРОВОГО ОПЫТА УТИЛИЗАЦИИ ОСАДКА ГОРОДСКИХ СТОЧНЫХ ВОД. Российский журнал прикладной экологии,  (4 (24)), 43-51. doi: 10.24411/2411-7374-2020-10033",https://cyberleninka.ru/article/n/analiz-mirovogo-opyta-utilizatsii-osadka-gorodskih-stochnyh-vod
СПОСОБЫ УТИЛИЗАЦИИ ОСАДКОВ ГОРОДСКИХ СТОЧНЫХ ВОД (ОБЗОР),"Валиев В.С., Иванов Д.В., Шагидуллин Р.Р.",Российский журнал прикладной экологии,2020,Экологические биотехнологии,"осадки сточных вод, утилизация, обеззараживание, обезвоживание, иловые поля","sewage sludge, recycling, disinfection, dehydration, sewage sludge fields","В обзоре рассматриваются различные технологии обработки и утилизации осадков сточных вод, образуемых на биологических очистных сооружениях городов и населенных пунктов. Анализируются их достоинства и недостатки, обобщен опыт их применения в мировой и отечественной практике.","Валиев В. С., Иванов Д. В., Шагидуллин Р. Р. СПОСОБЫ УТИЛИЗАЦИИ ОСАДКОВ ГОРОДСКИХ СТОЧНЫХ ВОД (ОБЗОР) // Российский журнал прикладной экологии. 2020. №4 (24). URL: https://cyberleninka.ru/article/n/sposoby-utilizatsii-osadkov-gorodskih-stochnyh-vod-obzor (дата обращения: 25.10.2024).","Валиев В.С., Иванов Д.В., & Шагидуллин Р.Р. (2020). СПОСОБЫ УТИЛИЗАЦИИ ОСАДКОВ ГОРОДСКИХ СТОЧНЫХ ВОД (ОБЗОР). Российский журнал прикладной экологии,  (4 (24)), 52-63. doi: 10.24411/2411-7374-2020-10034",https://cyberleninka.ru/article/n/sposoby-utilizatsii-osadkov-gorodskih-stochnyh-vod-obzor
ПРИМЕНЕНИЕ САПРОПЕЛЯ ДЛЯ АКТИВАЦИИ ПОЧВЕННЫХ ФОСФАТМОБИЛИЗУЮЩИХ МИКРООРГАНИЗМОВ,"Минаковский А.Ф., Игнатовец О.С., Шатило В.И., Сергиевич Д.С., Босак В.Н.",Вестник Белорусской государственной сельскохозяйственной академии,2020,Экологические биотехнологии,"фосфор, биологическая фосфатмобилизация, почвенные микроорганизмы, сапропель","phosphorus, biological phosphate mobilization, soil microorganisms, sapropel","Фосфор относится к основным питательным макроэлементам, которые обеспечивают рост и развитие растений, ускорение образования репродуктивных органов и созревание растений, формирование высоких и устойчивых урожаев сельскохозяйственных культур с благоприятным качеством товарной продукции. Фосфор участвует практически во всех основных метаболических процессах в растении. Наибольшую питательную ценность для сельскохозяйственных культур имеют легкоусвояемые соединения фосфора из почвы и удобрений. Одним из перспективных направлений улучшения фосфорного питания сельскохозяйственных культур является биологическая фосфатмобилизация с помощью автохтонных почвенных микроорганизмов, способствующая переводу труднорастворимых соединений фосфора из почвы и удобрений в доступные для культурных растений формы. В совместных исследованиях УО «Белорусский государственный технологический университет» и УО «Белорусская государственная сельскохозяйственная академия» отобраны и определены наиболее активные штаммы автохтонных почвенных фосфатмобилизующих микроорганизмов, а также изучена возможность применения различных типов сапропеля для активации их деятельности. В результате совместных исследований установлено, что из выделенных из почвы 16 штаммов различных групп фосфатмобилизующих микроорганизмов лучшей фосфатмобилизующей способностью обладали штаммы М8.1, М10 и М16.1. Выделенные штаммы микроорганизмов относятся к широко распространенным почвенным бактериям родов Bacillus sp. и Pseudomonas sp. В качестве источника углерода для культивирования фосфатмобилизующих микроорганизмов наряду с другими органическими источниками может использоваться также сапропель. Концентрация карбонатного сапропеля в культуральной жидкости в размере 3% была оптимальной для поддержания высокой фосфатмобилизующей активности почвенных бактерий.","Минаковский А. Ф., Игнатовец О. С., Шатило В. И., Сергиевич Д. С., Босак В. Н. ПРИМЕНЕНИЕ САПРОПЕЛЯ ДЛЯ АКТИВАЦИИ ПОЧВЕННЫХ ФОСФАТМОБИЛИЗУЮЩИХ МИКРООРГАНИЗМОВ // Вестник Белорусской государственной сельскохозяйственной академии. 2020. №2. URL: https://cyberleninka.ru/article/n/primenenie-sapropelya-dlya-aktivatsii-pochvennyh-fosfatmobilizuyuschih-mikroorganizmov (дата обращения: 25.10.2024).","Минаковский А.Ф., Игнатовец О.С., Шатило В.И., Сергиевич Д.С., & Босак В.Н. (2020). ПРИМЕНЕНИЕ САПРОПЕЛЯ ДЛЯ АКТИВАЦИИ ПОЧВЕННЫХ ФОСФАТМОБИЛИЗУЮЩИХ МИКРООРГАНИЗМОВ. Вестник Белорусской государственной сельскохозяйственной академии,  (2), 101-106.",https://cyberleninka.ru/article/n/primenenie-sapropelya-dlya-aktivatsii-pochvennyh-fosfatmobilizuyuschih-mikroorganizmov
